Plante	Date_de_germination	Cotyledons	Taille_Dec_05	Taille_Fev_06	Taille_Mars_06	Taille_Juin_06	Taille_Sept_06	traitement	PAR	reference	espece	pop
1			0	0	0		0	peu	7.95	7.82	mac	rog
2			0	0	0		0	peu	7.46	7.82	mac	rog
3			0	0	0		0	peu	6.38	7.82	mac	rog
4	05/04/2006	11.08	0	0	0	15	75	peu	6.70	7.82	mac	rog
5			0	0	0		0	peu	7.72	7.82	mac	rog
6	17/10/2005	8.03	0	0	0		0	peu	5.29	7.82	mac	rog
7			0	0	0		0	peu	6.85	7.82	mac	rog
8			0	0	0		0	peu	7.12	7.82	mac	rog
9			0	0	0		0	peu	7.50	7.82	mac	rog
10	24/10/2005	6.13	0	0	0		0	peu	6.74	7.82	mac	rog
11	17/10/2005	7.9	16.23	20.51	44.03	40	80	peu	8.05	7.82	mac	rog
12			0	0	0		0	peu	6.64	7.82	mac	rog
13			0	0	0		0	peu	6.94	7.82	mac	rog
14			0	0	0		0	peu	6.10	7.82	mac	rog
15	17/10/2005	5.01	12.05	11.79	13.24	40	80	peu	6.59	7.82	mac	rog
16			0	0	0		0	peu	7.69	7.82	mac	rog
17	17/10/2005	9.45	29.99	37.19	33.62	35	0	peu	7.38	7.82	mac	rog
18			0	0	0		0	peu	7.58	7.82	mac	rog
19			0	0	0		0	peu	5.63	7.82	mac	rog
20			0	0	0		0	peu	7.68	7.82	mac	rog
21	17/10/2005	9.36	14	16.75	9.73		0	peu	7.60	7.82	mac	rog
22			0	0	0		0	peu	5.72	7.82	mac	rog
23	05/04/2006	8.58	0	0	0	45	90	peu	6.82	7.82	mac	rog
24	15/03/2006	5	0	0	5	15	0	peu	5.78	7.82	mac	rog
25	17/10/2005	5.78	16.63	21.055	43.035	45	0	peu	7.52	7.25	mac	rog
26			0	0	0		0	peu	7.14	7.25	mac	rog
27	17/10/2005	9.22	19.67	15.735	28.41	35	60	peu	5.05	7.25	mac	rog
28	17/10/2005	6.85	0	0	0		0	peu	7.26	7.25	mac	rog
29	17/10/2005	4.56	0	0	0	0	0	peu	7.50	7.25	mac	rog
30	24/10/2005	9	0	0	0		0	peu	6.74	7.25	mac	rog
31			0	0	0		0	peu	7.12	7.25	mac	rog
32			0	0	0		0	peu	7.05	7.25	mac	rog
33			0	0	0		0	peu	6.63	7.25	mac	rog
